ballroom blintz	2094
bat wing	183
batgut	182
batgut	182
black pudding	2338
blackberry	2063
bottle of gin	237
bottle of rum	787
bottle of tequila	1004
bottle of vodka	238
bottle of whiskey	328
boxed wine	1005
bubblin' crude	5789
centipede eggs	2583
cherry	1006
cocoa eggshell fragment	589
cranberries	672
cranberries	672
displaced fish	2524
dry noodles	304
enchanted bean	186
exotic jungle fruit	6724
eye of newt	1462
ghuol egg	161
gnollish pie tin	158
gr8ps	358
grapefruit	243
hot date	2589
jabañero pepper	55
knob sausage	302
lemon	332
lihc eye	170
long pork	2532
loose teeth	187
mountain stream soda	357
olive	245
orange	242
philosopher's scone	4956
royal jelly	830
skewer	165
soda water	1003
spices	8
strawberry	786
tangerine	1558
tomato	246
turtle totem	4
wad of dough	159
wad of tofu	209
